Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;I1 - Bajo logro educativo;I2 - Analfabetismo;I3 - Inasistencia escolar;I4 - Rezago escolar;I5 - Barreras a servicios para cuidado de la primera infancia;I6 - Trabajo infantil;I7 - Desempleo de larga duracion;I8 - Trabajo informal;I9 - Sin aseguramiento en salud;I15 - Hacinamiento critico;personas
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;0;0;0;1;0;0;0;1;0;8
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;0;0;0;1;0;0;1;0;1;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;0;0;0;1;0;0;1;1;0;26
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;0;0;0;1;0;0;1;1;1;9
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;0;0;0;1;0;1;1;1;0;7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;0;0;0;1;0;1;1;1;1;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;0;0;1;0;0;0;0;0;0;9
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;0;0;1;0;0;0;1;0;0;23
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;0;0;1;0;0;0;1;0;1;37
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;0;0;1;0;0;1;1;0;0;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;0;0;1;0;0;1;1;0;1;13
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;0;0;1;1;0;0;1;1;0;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;0;0;1;1;0;0;1;1;1;7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;0;0;1;1;0;1;1;1;0;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;0;1;0;0;0;0;1;0;0;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;0;1;0;0;0;0;1;0;1;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;0;1;0;0;0;1;1;0;0;8
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;0;1;0;1;0;0;0;1;1;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;0;1;1;0;0;0;0;0;1;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;0;1;1;0;0;0;1;0;0;9
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;0;1;1;0;0;0;1;0;1;10
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;0;1;1;0;0;1;1;0;0;12
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;0;1;1;0;0;1;1;0;1;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;1;0;0;0;0;0;0;0;0;9
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;1;0;0;0;0;0;1;0;0;6
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;1;0;0;0;0;0;1;0;1;27
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;1;0;0;0;0;1;0;0;1;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;1;0;0;0;0;1;1;0;0;19
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;1;0;0;1;0;0;1;1;0;6
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;1;0;1;0;0;0;0;0;1;11
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;1;0;1;0;0;0;1;0;0;8
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;1;0;1;0;0;1;1;0;0;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;1;0;1;0;0;1;1;0;1;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;1;0;1;1;0;0;0;1;1;7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;1;1;0;0;0;0;1;0;0;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;0;0;0;0;0;0;0;0;0;0;275
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;0;0;0;0;0;0;0;0;0;1;123
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;0;0;0;0;0;0;0;1;0;0;272
